City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
241,Kruisfontein,ZA,2021-04-11 16:00:14,-34.0033,24.7314,70.0,66,100,1.01
242,La Ronge,CA,2021-04-11 16:00:14,55.1001,-105.2842,28.4,80,99,9.22
243,Esperance,AU,2021-04-11 15:58:10,-33.8667,121.9,59.0,88,90,21.85
244,Qujing,CN,2021-04-11 16:00:15,25.4833,103.7833,63.0,63,14,1.01
245,Hithadhoo,MV,2021-04-11 16:00:15,-0.6,73.0833,83.95,66,62,11.45
246,Castro,BR,2021-04-11 16:00:15,-24.7911,-50.0119,78.39,41,1,8.68
247,Kabompo,ZM,2021-04-11 16:00:15,-13.5927,24.2008,69.17,64,7,5.03
248,Rivadavia,AR,2021-04-11 16:00:16,-33.1905,-68.4608,60.8,67,0,3.44
249,Kamaishi,JP,2021-04-11 16:00:16,39.2667,141.8833,43.56,70,0,6.71
250,Laguna,US,2021-04-11 15:58:27,38.421,-121.4238,57.0,82,1,4.61
251,Kroya,ID,2021-04-11 16:00:17,-7.6331,109.2461,79.92,82,98,0.72
252,Yaan,NG,2021-04-11 16:00:17,7.3833,8.5667,95.14,38,95,9.69
253,College,US,2021-04-11 15:58:29,64.8569,-147.8028,3.99,70,75,5.75
254,Tumut,AU,2021-04-11 16:00:17,-35.3,148.2167,44.6,81,5,1.14
255,Broken Hill,AU,2021-04-11 16:00:18,-31.95,141.4333,51.8,50,0,9.22
256,Berlevag,NO,2021-04-11 16:00:18,70.8578,29.0864,35.6,86,75,31.07
257,Hofn,IS,2021-04-11 16:00:18,64.2539,-15.2082,32.0,93,90,10.36
258,Pershotravneve,UA,2021-04-11 16:00:19,51.3929,28.8684,53.8,49,0,5.73
259,Cravo Norte,CO,2021-04-11 16:00:19,6.3017,-70.2041,82.42,60,99,3.15
260,Aksarka,RU,2021-04-11 16:00:19,66.5606,67.7975,31.35,94,100,12.82
261,Rorvik,NO,2021-04-11 16:00:20,64.8621,11.2373,42.8,56,20,9.22
262,Tiksi,RU,2021-04-11 16:00:20,71.6872,128.8694,-1.82,80,94,5.88
263,Pahalgam,IN,2021-04-11 16:00:20,34.0333,75.3333,36.32,78,94,7.25
264,San Quintin,MX,2021-04-11 15:58:34,30.4833,-115.95,59.68,77,100,6.82
265,Sinop,TR,2021-04-11 16:00:21,41.7711,34.8709,36.59,98,100,6.06
266,Gisborne,NZ,2021-04-11 16:00:21,-38.6533,178.0042,57.99,98,15,1.99
267,Port Keats,AU,2021-04-11 16:00:22,-14.25,129.55,80.35,80,67,1.41
268,Vasai,IN,2021-04-11 16:00:22,19.47,72.8,86.0,79,1,4.38
269,Binzhou,CN,2021-04-11 16:00:23,37.3667,118.0167,53.35,87,100,12.35
270,Goderich,CA,2021-04-11 15:55:25,43.7501,-81.7165,57.2,88,100,10.36
271,Yar-Sale,RU,2021-04-11 15:58:24,66.8333,70.8333,32.59,98,100,12.08
272,Hambantota,LK,2021-04-11 16:00:23,6.1241,81.1185,78.8,100,20,4.61
273,Saint Anthony,US,2021-04-11 15:58:51,45.0205,-93.218,46.99,76,90,11.5
274,Hualmay,PE,2021-04-11 16:00:24,-11.0964,-77.6139,73.09,75,93,7.72
275,Amot,NO,2021-04-11 16:00:25,59.5714,7.9877,42.01,55,100,5.99
276,Keningau,MY,2021-04-11 16:00:25,5.3378,116.1602,75.2,94,20,3.44
277,Requena,ES,2021-04-11 16:00:25,39.4883,-1.1004,75.2,35,20,6.91
278,Pitimbu,BR,2021-04-11 16:00:26,-7.4706,-34.8086,77.0,94,90,17.27
279,Grosseto,IT,2021-04-11 16:00:26,42.8333,11.25,59.0,88,75,16.11
280,Turukhansk,RU,2021-04-11 16:00:27,65.8167,87.9833,28.81,88,100,8.68
281,Bogovarovo,RU,2021-04-11 16:00:27,58.9785,47.0246,36.73,97,97,2.66
282,Mosquera,CO,2021-04-11 15:58:20,4.7059,-74.2302,64.4,55,75,9.22
283,Lazaro Cardenas,MX,2021-04-11 16:00:28,17.9583,-102.2,81.72,51,9,4.61
284,Deputatskiy,RU,2021-04-11 16:00:28,69.3,139.9,-22.07,99,79,2.77
285,Jardim,BR,2021-04-11 16:00:29,-21.4803,-56.1381,95.95,29,15,7.2
286,Coihaique,CL,2021-04-11 15:57:33,-45.5752,-72.0662,57.2,77,75,5.75
287,Hilton Head Island,US,2021-04-11 16:00:13,32.2163,-80.7526,71.01,73,90,8.05
288,Narasimharajapura,IN,2021-04-11 16:00:29,13.6167,75.5167,73.06,87,47,4.25
289,Saldanha,ZA,2021-04-11 16:00:30,-33.0117,17.9442,77.0,50,99,12.66
290,Kaseda,JP,2021-04-11 16:00:30,31.4167,130.3167,57.0,67,9,10.0
291,Nurobod,UZ,2021-04-11 16:00:31,40.9056,69.8023,53.6,43,0,4.61
